version	package	cbo	aff	eff	lcom	mf	cs
1.6.1	org.apache.tools.ant.types.selectors	6	6	20	0.9021505376344086	0.5814696485623003	-305
1.6.1	org.apache.tools.ant.types.selectors.modifiedselector	3	5	8	0.8444444444444444	0.6222222222222222	-23
1.6.1	org.apache.tools.ant.util	5	89	14	0.9768270944741533	0.23423423423423423	-519
1.6.1	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.6.1	org.apache.tools.ant.util.regexp	1	7	2	0.75	0.3225806451612903	0
1.6.1	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.6.1	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.6.1	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.6.1	org.apache.tools.zip	0	6	0	0.8	0.8148148148148148	-13
1.6.2	org.apache.tools.ant	8	280	29	0.9424603174603174	0.3787755102040816	-1630
1.6.2	org.apache.tools.ant.filters	5	2	13	0.9340463458110517	0.6727272727272727	-443
1.6.2	org.apache.tools.ant.filters.util	4	6	11	1.0	0.0	-1
1.6.2	org.apache.tools.ant.helper	2	3	13	0.8125	0.5895953757225434	-64
1.6.2	org.apache.tools.ant.input	2	4	2	0.65	0.5384615384615384	4
1.6.2	org.apache.tools.ant.listener	4	0	9	1.0	0.0	-1
1.6.2	org.apache.tools.ant.loader	3	1	5	NaN	0.0	0
1.6.2	org.apache.tools.ant.taskdefs	16	29	121	0.9916999162602828	0.45479082321187586	-19813
1.6.2	org.apache.tools.ant.taskdefs.compilers	4	1	14	0.8363636363636363	0.3711340206185567	-19
1.6.2	org.apache.tools.ant.taskdefs.condition	4	18	8	0.8571428571428571	0.5504587155963303	-51
1.6.2	org.apache.tools.ant.taskdefs.cvslib	4	0	10	0.8727272727272727	0.6363636363636364	-27
1.6.2	org.apache.tools.ant.taskdefs.email	4	2	9	0.6904761904761905	0.5909090909090909	3
1.6.2	org.apache.tools.ant.taskdefs.rmic	4	1	12	0.7619047619047619	0.37037037037037035	-3
1.6.2	org.apache.tools.ant.types	9	143	70	0.9575757575757575	0.3835616438356164	-1277
1.6.2	org.apache.tools.ant.types.resolver	2	0	3	-0.0	0.5714285714285714	1
1.6.2	org.apache.tools.ant.types.selectors	6	7	18	0.9129032258064517	0.5785714285714286	-323
